ind,D,T,S,U,rxn,clean_time,real_time,KaiA,ATP,Temp,KaiC
r1_0,0.069135182,0.045398609,1.6788678,98.206598,r1,0,0,0.375,100,30,3.5
r1_1,0.69722674,4.525235,4.7829604,89.994578,r1,1,1,0.375,100,30,3.5
r1_2,1.196453,6.7206643,5.3052231,86.77766,r1,2,2,0.375,100,30,3.5
r1_3,2.052489,8.4428191,6.4267915,83.0779,r1,3,3.5,0.375,100,30,3.5
r1_4,1.5588853,8.5858335,6.0822501,83.773031,r1,4,4.5,0.375,100,30,3.5
r1_6,3.8707397,9.971949,11.235504,74.921807,r1,6,6.966666667,0.375,100,30,3.5
r1_10,3.7931057,8.6205305,11.729384,75.85698,r1,10,10.21666667,0.375,100,30,3.5
r1_12,1.3856106,6.1630297,11.624762,80.826598,r1,12,12.25,0.375,100,30,3.5
r2_0,0.1677504,0.3137383,3.151047,96.367464,r2,0,0,0.375,25,30,3.5
r2_1,0.63837649,1.1444313,2.650327,95.566865,r2,1,1,0.375,25,30,3.5
r2_2,0.080740574,0.558818,1.8893155,97.471126,r2,2,2,0.375,25,30,3.5
r2_3,0.2595939,0.93920082,5.1540433,93.647162,r2,3,3.5,0.375,25,30,3.5
r2_4,1.9606878,3.7630142,5.2694745,89.006824,r2,4,4.5,0.375,25,30,3.5
r2_6,2.694342,2.9183383,4.483819,89.903501,r2,6,6.966666667,0.375,25,30,3.5
r2_10,1.9529916,2.647281,5.9241039,89.475624,r2,10,10.21666667,0.375,25,30,3.5
r2_12,0.30241102,0.24856993,2.6764686,96.77255,r2,12,12.25,0.375,25,30,3.5
r3_0,0.16782997,0.28959343,2.6863967,96.85618,r3,0,0,0.375,10,30,3.5
r3_1,1.5374454,1.6080943,3.0598306,93.79463,r3,1,1,0.375,10,30,3.5
r3_2,0.88983692,2.1826657,5.5885435,91.338954,r3,2,2,0.375,10,30,3.5
r3_3,0.49621564,1.1631298,5.9993719,92.341283,r3,3,3.5,0.375,10,30,3.5
r3_4,0.54040432,0.78193984,5.6117819,93.065874,r3,4,4.5,0.375,10,30,3.5
r3_6,0.28288607,0.58759129,2.6171228,96.5124,r3,6,6.966666667,0.375,10,30,3.5
r3_10,0.25495734,1.3880551,4.7206337,93.636354,r3,10,10.21666667,0.375,10,30,3.5
r3_12,0.17637059,1.4479181,3.1742814,95.20143,r3,12,12.25,0.375,10,30,3.5
